Zone ID,Zone,City Code,TCS ID,Centre code,LISP,Add1,Add2,Add3,Pincode,City,State,Max,S1-ME1,S1-EC1,S2-ME2,"S2-BT, CH, GG, MN, PH",S3-ME3,S3-EC2,S4-EC3,"S4-AR, CY, IN, MA, PE",S5-CS1,S5-CE1,S6-CS2,S6-EE1,S7-CE2,"S7-AG, EY, MT, PI",S8-EE2,"S8-AE, TF, XL, XE",PwD-Friendly
5,IIT KANPUR,109,,5055,Lucknow Institute of Technology,Azad Puram adjacent CRPF Group Center Post Chandrawal,Bijnour-Banthra Road-Lucknow,Uttar Pradesh India,226002,Lucknow,Uttar Pradesh,130,87,61,72,59,87,40,48,70,40,91,82,49,120,11,95,36,YES
5,IIT KANPUR,109,,5056,BN College Of Engineering and Technology,BNCET NH- 24 Near Sahara Art  and Management,Bakshi Ka Talab Sitapur Road,Uttar Pradesh India,227202,Lucknow,Uttar Pradesh,140,91,63,75,62,91,42,50,73,43,98,88,53,0,0,0,0,YES
5,IIT KANPUR,109,,5057,Royal PG College,Royal campus Opposit Gate No. 6 vidhansabha,Near Pratibha cinema,"Hazratganj,Lucknow,Uttar Pradesh,India ",226001,Lucknow,Uttar Pradesh,244,145,100,119,98,145,66,80,115,75,170,154,91,0,0,0,0,YES
5,IIT KANPUR,187,,5058,Kashi Institute Of Technology CENTER 1,MS 23 Varanasi-Allahabad Highway,Mirzamurad-Varanasi,Uttar Pradesh India,221307,Varanasi,Uttar Pradesh,300,213,84,0,312,213,84,90,212,126,152,63,215,0,0,0,0,YES
5,IIT KANPUR,187,,5059,Kashi Institute Of Technology CENTER 2,MS 23 Varanasi-Allahabad Highway,Mirzamurad-Varanasi,Uttar Pradesh India,221307,Varanasi,Uttar Pradesh,200,142,56,0,207,142,56,60,141,91,110,46,155,0,103,0,200,YES
5,IIT KANPUR,187,,5060,Shepa Campus,Nibia Bachchaon, Landmark near DPS Varanasi,Uttar Pradesh India,221011,Varanasi,Uttar Pradesh,130,85,34,0,125,86,34,36,85,55,66,28,93,0,0,0,130,YES
5,IIT KANPUR,187,,5061,"School Of Management Sciences, Varanasi","Khushipur, Post Bachhaon Mohan Sarai", Mugal Sarai Bye Pass -Varanasi,Uttar Pradesh India,221011,Varanasi,Uttar Pradesh,280,181,71,0,265,181,71,77,180,127,153,64,217,0,0,0,231,YES
5,IIT KANPUR,187,,5062,JeevanDeep Institute of Management & Technology,Bara Lalpur Post-Lamhii,Varanasi,Uttar Pradesh India,221007,Varanasi,Uttar Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,YES
5,IIT KANPUR,187,,5063,BHU University CENTER 1,Ramnagar road opposite madan mohan malvia road, near sir sundar hospital saket nagar colony lanka varanasi uttar pradesh,Uttar Pradesh India,221005,Varanasi,Uttar Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,YES
5,IIT KANPUR,187,,5064,OCBT IT services,"Maharishi Dayanand marg, Narharpura", Aushanganj Varanasi Uttar Pradesh India ,,221001,Varanasi,Uttar Pradesh,80,0,0,0,0,0,0,0,0,37,44,19,62,0,81,0,80,YES
5,IIT KANPUR,187,,5065,Ambition Institute of Technology,G. T. Road Marhia,Parao-Varanasi,Uttar Pradesh India,221102,Varanasi,Uttar Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,YES
5,IIT KANPUR,109,,5066,BBD Nothern India Institute of Technology,SEC 2 Akhilesh Das Nagar Faizabad Road,Lucknow Uttar Pradesh India ,,227105,Lucknow,Uttar Pradesh,415,278,192,228,188,278,127,153,221,123,278,252,149,0,0,0,0,YES
5,IIT KANPUR,66,,5067,"SHRI KRISHNA INSTITUTE OF TECHNOLOGY and MANAGEMENT, Gwalior",Bhatkheri Jhansi Road," Gwalior,Madhya Pradesh,India",,474001,Gwalior,Madhya Pradesh,100,0,0,0,0,0,0,0,0,14,46,100,0,0,0,0,0,YES
