Zone ID,Zone,City,TCS ID,Centre code,LISP,Add1,Add2,Add3,Pincode,City,State,Max,S1-EC1,S1-ME1,S2-ME2,"S2-BT, CH, GG, MN, PH",S3-ME3,S3-EC2,S4-EC3,"S4-AR, CY, IN, MA, PE",S5-CE1,S5-CS1,S6-CS2,S6-EE1,S7-CE2,"S7-AG, EY, MT, PI",S8-EE2,"S8-AE, TF, XL, XE"
7,IIT MADRAS,Madurai,331,7059,KLN COLLEGE OF ENGINEERING,Pottapalayam,Sivagangai District,,630611,Madurai,Tamil Nadu,500,197,171,171,103,169,197,195,147,285,170,170,246,233,0,295,34
7,IIT MADRAS,Namakkal,236,7060,K.S. R College of Technology,KSR Kalvi Nagar,Thokkavadi,Tiruchengode Namakkal,637215,Namakkal,Tamil Nadu,550,185,285,285,144,282,185,181,137,291,123,122,204,290,12,202,66
7,IIT MADRAS,Salem,2118,7061,AVS Engineering College,Military Road Near Sakthikailash Womens College,Ammapet,,636003,Salem,Tamil Nadu,250,90,150,180,0,150,90,90,40,162,88,70,150,0,0,0,0
7,IIT MADRAS,Salem,1068,7062,Knowledge Institute of Technology,KIOT Campus,NH47 Kakapalayam post,,637504,Salem,Tamil Nadu,450,120,242,212,114,242,120,118,92,162,88,105,186,323,100,336,75
7,IIT MADRAS,Thanjavur,1043,7063,Prist University,TrichyThanjavur Road,Vallam,,613403,Thanjavur,Tamil Nadu,500,134,179,299,190,177,134,232,174,111,100,100,130,111,23,130,40
7,IIT MADRAS,Thanjavur,1032,7064,Sastra University,Tirumalaisamudram,Thanjavur,,613401,Thanjavur,Tamil Nadu,250,100,120,0,0,120,100,0,0,110,105,104,131,110,0,130,58
7,IIT MADRAS,Thoothukudi,864,7065,Infant Jesus College of Engineering,Tirunelveli to Thoothukudi National Highway,Kamaraj Nagar,Keela Vallanadu Thoothukudi,628851,Thoothukudi,Tamil Nadu,250,70,87,87,28,87,70,68,37,62,52,52,117,62,4,117,14
7,IIT MADRAS,Tiruchirappalli,239,7066,JJ College of Engineering and Technology,Ammapettai,Poolangulathupatti Post,,620009,Tiruchirappalli,Tamil Nadu,340,130,200,200,130,200,130,130,117,119,86,86,140,160,40,187,41
7,IIT MADRAS,Tiruchirappalli,1986,7067,K.Ramakrishnan College of Engineering,Kariyamanikam Road,Samayapuram,,621112,Tiruchirappalli,Tamil Nadu,240,100,140,140,95,140,100,100,95,120,86,86,140,159,41,187,41
7,IIT MADRAS,Tiruchirappalli,1363,7068,M.A.M College of Engineering,Trichy Chennai Trunk Road,Siruganur,,621105,Tiruchirappalli,Tamil Nadu,240,100,140,140,95,140,100,100,95,119,87,87,140,158,45,186,42
7,IIT MADRAS,Tiruchirappalli,1381,7069,M.A.M College of Engineering and Technology,Trichy Chennai Trunk Road,Siruganur,,621105,Tiruchirappalli,Tamil Nadu,240,70,170,170,60,170,70,70,60,119,87,87,141,0,0,0,0
7,IIT MADRAS,Tiruchirappalli,1759,7070,M.A.M School of Engineering,Trichy Chennai Trunk Road,Siruganur,,621105,Tiruchirappalli,Tamil Nadu,140,25,110,110,25,110,25,0,0,0,0,0,0,0,0,0,0
7,IIT MADRAS,Tiruchirappalli,2935,7071,Pavendar Bharathidasan College of Engineering and Technology,Thanjai Natraj Nagar,Mathur,Pudukottai Road,620024,Tiruchirappalli,Tamil Nadu,140,25,102,102,25,102,25,50,50,0,0,0,0,0,0,0,0
7,IIT MADRAS,Tirunelveli,2325,7072,PSN College of Engineering and Technology,PSN Nagar,Melathediyoor Post,Tharuvai via,627152,Tirunelveli,Tamil Nadu,500,184,202,202,72,202,184,184,86,235,156,155,217,234,4,217,48
7,IIT MADRAS,Tiruvannamalai,4622,7073,SKP ENGINEERING COLLEGE,SKP ENGINEERING COLLEGE,Chinnakangiyanur,,606611,Tiruvannamalai,Tamil Nadu,200,44,52,52,18,50,44,44,33,43,39,38,62,43,2,62,10
7,IIT MADRAS,Vellore,4628,7074,MARUDHAR KESARI JAIN COLLEGE FOR WOMEN,MARUDHAR NAGAR,CHINNAKALLUPALLI,VANIYAMABADI,635751,Vellore,Tamil Nadu,150,50,100,96,54,100,50,106,44,72,78,129,21,122,11,81,69
7,IIT MADRAS,Vellore,2031,7075,Sree Krishna College of Engineering,Unai Village,Anaicut Post,,632101,Vellore,Tamil Nadu,100,50,50,46,54,50,50,56,44,43,57,6,94,65,0,100,0
7,IIT MADRAS,Vellore,4508,7076,VOORHEES COLLEGE,No.1 Officers Line,,,632001,Vellore,Tamil Nadu,100,50,50,47,53,50,50,56,44,43,57,6,94,0,0,100,0
7,IIT MADRAS,Virudhunagar,336,7077,SREE VIDYA COLLEGE OF ENGINEERING AND TECHNOLOGY,Sivakasi Main Road,P.Kumaralingapuram,Virudhunagar,626005,Virudhunagar,Tamil Nadu,250,71,81,81,49,79,71,71,47,96,61,60,89,96,2,88,23
7,IIT MADRAS,Karimnagar,1445,7078,Sree Chaitanya College of Engineering,LMD Colony,Thimmapur,,505527,Karimnagar,Telangana,400,169,78,78,110,77,169,168,19,72,109,109,235,0,0,234,4
7,IIT MADRAS,Karimnagar,1201,7079,Vaageswari College of Engineering,Beside LMD Police Station,Rama Krishna Colony,,505481,Karimnagar,Telangana,450,169,77,77,111,77,169,169,18,71,110,110,240,142,25,240,0
7,IIT MADRAS,Khammam,269,7080,Bomma Institute of Technology and Sciences,Allipuram,,,507318,Khammam,Telangana,250,83,66,66,34,66,83,0,0,0,0,0,250,0,0,222,11
7,IIT MADRAS,Khammam,1502,7081,Khammam Institute of Technology & Sciences,Ponnekal Village,Khammam - Hyd Road,,507170,Khammam,Telangana,250,100,80,80,80,80,100,144,16,100,80,0,250,197,24,250,0
7,IIT MADRAS,Khammam,1253,7082,Laqshya Institute of Technology & Sciences,Wyra Road,Tanikella Village,Konijarla Mandal,507305,Khammam,Telangana,250,112,68,68,85,68,112,150,17,97,87,47,202,0,0,250,0
7,IIT MADRAS,Nalgonda,1364,7083,Anurag Engineering College,Ananthagiri Village,Kodad Mandal,Nalgonda District Kodad,508206,Nalgonda,Telangana,150,57,30,61,25,30,57,114,9,84,47,23,90,83,5,90,3
7,IIT MADRAS,Nalgonda,2752,7084,Kodada Institute of Technology and Science for Women,Near Rangani Gudi,Anantagiri Road,Nalgonda District Kodad,508206,Nalgonda,Telangana,150,57,31,0,0,30,57,0,0,0,0,23,91,0,0,90,0
7,IIT MADRAS,Warangal,2686,7085,Chaitanya Degree College & PG College Autonomous,Kishanpura,Hanamkonda,,506001,Warangal,Telangana,180,100,70,80,70,70,100,100,66,80,80,52,128,130,30,175,0
7,IIT MADRAS,Warangal,1276,7086,Ganapathi Engineering College,Rangasaipet,Hunter Road,Near Naidu Petrol Pump,506005,Warangal,Telangana,180,100,70,80,65,70,100,0,0,65,85,52,128,0,0,175,0
7,IIT MADRAS,Warangal,7732,7087,Jaya Institute of Technology and Science for Women,Sy. No. 910 Ward No 7 Block 1,Near Padmakshema Temple,Hanmakonda,506011,Warangal,Telangana,200,100,60,0,0,60,100,120,65,0,0,70,127,0,0,0,0
7,IIT MADRAS,Warangal,1564,7088,Kakatiya Institute of Technology and Science,Opposite Yerragattu Hillock,Bheemaram Village,Hasanparthy Mandal,506015,Warangal,Telangana,320,150,80,109,81,80,150,180,66,115,116,66,254,130,0,240,0
7,IIT MADRAS,Warangal,1207,7089,Vaagdevi College of Engineering,Bollikunta,Mamoonoor Camp,,506005,Warangal,Telangana,400,130,99,110,80,98,130,180,66,125,100,140,254,124,61,301,20
