Zone ID	Zone	City Code	TCS ID 	Centre code	LISP	Add1	Add2	Add3	Pincode	City	State	Max	S1-ME1	S1-EC1	S2-ME2	S2-BT,CH,GG,MN,PH	S3-ME3	S3-EC2	S4-EC3	S4-AR,CY,IN,MA,PE	S5-CS1	S5-CE1	S6-CS2	S6-EE1	S7-CE2	S7-AG,EY,MT,PI	S8-EE2	S8-AE,TF,XL,XE
5	IIT KANPUR	109		5053	G.C.R.G Memorial Trusts Group of Institutions	Chandrika Devi Road	Bakshi Ka Talab-Lucknow	Uttar Pradesh India	227202	Lucknow	Uttar Pradesh	150	88	60	81	65	97	47	52	75	45	104	94	55	119	10	109	40
5	IIT KANPUR	109		5054	Dr. M C Saxena Group of Colleges	171, BarawanKala Mall Road	Dubagga-IIM Bypass Lucknow	Uttar Pradesh India	226101	Lucknow	Uttar Pradesh	140	82	56	75	60	91	44	48	70	42	97	87	52	92	7	102	37
5	IIT KANPUR	109		5055	Lucknow Institute of Technology	Azad Puram adjacent CRPF Group Center Post Chandrawal	Bijnour-Banthra Road-Lucknow	Uttar Pradesh India	226002	Lucknow	Uttar Pradesh	130	76	52	70	55	84	41	45	65	39	90	81	48	119	10	94	35
5	IIT KANPUR	109		5056	BN College Of Engineering and Technology	BNCET NH- 24 Near Sahara Art  and Management	Bakshi Ka Talab Sitapur Road	Uttar Pradesh India	227202	Lucknow	Uttar Pradesh	140	82	56	75	59	91	44	48	70	42	97	87	52	0	0	0	0
5	IIT KANPUR	109		5057	Royal PG College	Royal campus Opposit Gate No. 6 vidhansabha	Near Pratibha cinema	Hazratganj,Lucknow,Uttar Pradesh,India 	226001	Lucknow	Uttar Pradesh	244	143	98	132	104	159	77	84	122	74	169	153	90	0	0	0	0
5	IIT KANPUR	109		5066	BBD Nothern India Institute of Technology	SEC 2 Akhilesh Das Nagar Faizabad Road	Lucknow Uttar Pradesh India		227105	Lucknow	Uttar Pradesh	415	243	168	224	177	271	132	143	208	122	277	251	148	0	0	0	0
5	IIT KANPUR	187		5058	Kashi Institute Of Technology CENTER 1	MS 23 Varanasi-Allahabad Highway	Mirzamurad-Varanasi	Uttar Pradesh India	221307	Varanasi	Uttar Pradesh	300	205	81	0	300	204	80	86	203	126	152	63	214	0	0	0	0
5	IIT KANPUR	187		5059	Kashi Institute Of Technology CENTER 2	MS 23 Varanasi-Allahabad Highway	Mirzamurad-Varanasi	Uttar Pradesh India	221307	Varanasi	Uttar Pradesh	200	136	53	0	199	136	53	57	135	90	110	45	154	0	103	0	200
5	IIT KANPUR	187		5060	Shepa Campus	Nibia Bachchaon	Landmark near DPS Varanasi	Uttar Pradesh India	221011	Varanasi	Uttar Pradesh	130	88	34	0	129	88	34	37	87	54	66	27	92	0	0	0	129
5	IIT KANPUR	187		5061	School Of Management Sciences, Varanasi	Khushipur, Post Bachhaon Mohan Sarai	Mugal Sarai Bye Pass -Varanasi	Uttar Pradesh India	221011	Varanasi	Uttar Pradesh	280	190	74	0	279	190	74	80	189	126	152	63	216	0	0	0	230
5	IIT KANPUR	187		5062	JeevanDeep Institute of Management & Technology	Bara Lalpur Post-Lamhii	Varanasi	Uttar Pradesh India	221007	Varanasi	Uttar Pradesh	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	IIT KANPUR	187		5063	BHU University CENTER 1	Ramnagar road opposite madan mohan malvia road	near sir sundar hospital saket nagar colony lanka varanasi uttar pradesh	Uttar Pradesh India	221005	Varanasi	Uttar Pradesh	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	IIT KANPUR	187		5064	OCBT IT services	Maharishi Dayanand marg, Narharpura	Aushanganj Varanasi Uttar Pradesh India		221001	Varanasi	Uttar Pradesh	80	0	0	0	0	0	0	0	0	36	43	18	60	0	80	0	79
5	IIT KANPUR	187		5065	Ambition Institute of Technology	G. T. Road Marhia	Parao-Varanasi	Uttar Pradesh India	221102	Varanasi	Uttar Pradesh	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
